in_country,foreign,topic
"[{'channel_id': 5000, 'name': 'Hoả Tốc', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}, {'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5000, 'name': 'Hoả Tốc', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}, {'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5000, 'name': 'Hoả Tốc', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}, {'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5000, 'name': 'Hoả Tốc', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}, {'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5000, 'name': 'Hoả Tốc', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}, {'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5000, 'name': 'Hoả Tốc', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}, {'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5000, 'name': 'Hoả Tốc', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}, {'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
"[{'channel_id': 5000, 'name': 'Hoả Tốc', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}, {'channel_id': 5001, 'name': 'Nhanh', 'min_price': 0, 'max_price': 0, 'price_before_discount': None, 'is_mask_channel': True, 'warning': {'type': 'unsupported_address', 'warning_msg': 'Không hỗ trợ'}, 'channel_delivery_info': {'has_edt': False, 'display_mode': None, 'estimated_delivery_date_from': None, 'estimated_delivery_date_to': None, 'estimated_delivery_time_min': None, 'estimated_delivery_time_max': None, 'delay_message': None}, 'channel_promotion_infos': None}]",,11035954
